ID	Quote	Label
251	Who sows virtue reaps honour.	
252	As long as I live, I will never forget that day 21 years ago when I raised my hand and took the oath of citizenship. Do you know how proud I was? I was so proud that I walked around with an American flag around my shoulders all day long.	
253	All the flowers of all the tomorrows are in the seeds of today.	
254	The pessimist sees difficulty in every opportunity. The optimist sees the opportunity in every difficulty.	
255	He who is fixed to a star does not change his mind.	
256	Anyone who doesn't take truth seriously in small matters cannot be trusted in large ones either.	
257	You block your dream when you allow your fear to grow bigger than your faith.	
258	You must train your intuition, you must trust the small voice inside you which tells you exactly what to say, what to decide.	
259	It is not fair to ask of others what you are unwilling to do yourself.	
260	If your actions inspire others to dream more, learn more, do more and become more, you are a leader.	
261	My mama always said: life's like a box of chocolate, you never know what you gonna get.	
262	He who is contented is rich.	
263	Continuous effort, not strength or intelligence, is the key to unlocking our potential.	
264	Do not go where the path may lead, go instead where there is no path and leave a trail.	
265	To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear.	
266	Through perseverance many people win success out of what seemed destined to be certain failure.	
267	A jug fills drop by drop.	
268	Science is organized knowledge. Wisdom is organized life.	
269	Today is the tomorrow we worried about yesterday.	
270	Judge nothing, you will be happy. Forgive everything, you will be happier. Love everything, you will be happiest.	
271	By accepting yourself and being fully what you are, your presence can make others happy.	
272	There are no failures, just experiences and your reactions to them.	
273	The universe is transformation; our life is what our thoughts make it.	
274	Keep silence for the most part, and speak only when you must, and then briefly.	
275	Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.	
276	If you do what you've always done, you'll get what youve always gotten.	
277	Creativity comes from trust. Trust your instincts. And never hope more than you work.	
278	Knowing is not enough; we must apply!	
279	Appreciation can make a day, even change a life. Your willingness to put it into words is all that is necessary.	
280	Action will remove the doubts that theory cannot solve.	
281	Let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom.	
282	You cannot travel the path until you have become the path itself.	
283	The least of things with a meaning is worth more in life than the greatest of things without it.	
284	Never miss an opportunity to make others happy, even if you have to leave them alone in order to do it.	
285	The greatest obstacle to connecting with our joy is resentment.	
